ShoulderWidth,Waist,Hips,TotalHeight,BodyShape
44.61,64.3,91.07,156.54,Hourglass
40.57,78.69,79.37,156.96,Rectangle
42.25,83.56,81.18,171.08,Rectangle
34.24,71.15,96.17,166.93,Pear
42.39,76.79,80.81,166.93,Rectangle
42.5,79.95,85.18,162.93,Rectangle
42.72,79.06,82.02,164.73,Rectangle
43.29,63.92,86.82,161.24,Hourglass
46.36,66.93,96.7,161.24,Hourglass
44.44,74.07,84.6,160.76,Inverted Triangle
46.62,67.92,97.21,161.07,Hourglass
44.34,64.45,98.18,163.92,Hourglass
44.54,64.7,98.76,162.93,Hourglass
38.72,79.0,79.42,174.18,Rectangle
42.35,85.21,86.11,171.0,Rectangle
43.61,64.93,96.87,167.39,Hourglass
45.7,66.58,98.61,160.05,Hourglass
43.52,64.19,95.68,167.84,Hourglass
46.18,78.24,82.18,166.36,Rectangle
43.61,80.35,84.33,166.79,Rectangle
48.23,77.08,90.67,161.47,Inverted Triangle
41.91,66.02,95.92,169.41,Hourglass
44.2,83.63,75.31,163.19,Rectangle
45.6,76.33,88.53,162.33,Inverted Triangle
45.21,80.29,82.76,162.65,Rectangle
44.43,79.73,83.57,162.14,Rectangle
45.27,67.66,93.59,157.5,Hourglass
45.07,66.77,94.68,167.15,Hourglass
41.68,76.98,81.8,170.66,Rectangle
43.38,62.96,91.65,166.69,Hourglass
44.79,74.9,91.02,166.08,Inverted Triangle
42.0,76.79,82.72,171.64,Rectangle
37.92,66.11,91.4,156.77,Pear
41.59,73.74,89.32,170.44,Inverted Triangle
42.61,70.86,90.68,168.87,Inverted Triangle
42.91,70.42,95.47,169.95,Inverted Triangle
39.38,75.91,83.19,166.09,Rectangle
45.5,71.5,77.54,171.44,Rectangle
37.13,68.66,95.36,168.07,Pear
42.38,86.59,84.62,172.54,Rectangle
37.18,70.04,100.13,167.28,Pear
45.27,73.09,77.6,171.87,Rectangle
34.33,73.98,96.46,158.08,Pear
45.02,66.37,92.96,160.56,Hourglass
44.34,71.8,82.9,167.99,Inverted Triangle
46.4,68.85,98.24,163.3,Hourglass
42.67,79.14,82.21,161.41,Rectangle
41.73,77.4,78.74,172.63,Rectangle
36.83,71.48,97.04,162.88,Pear
39.79,68.69,94.61,171.09,Pear
44.14,68.26,85.61,169.54,Hourglass
41.48,79.32,83.12,163.29,Rectangle
37.53,66.56,94.56,164.51,Pear
42.53,67.11,88.07,160.78,Hourglass
38.29,63.66,91.64,168.46,Hourglass
37.63,70.7,95.11,162.81,Pear
40.88,69.7,100.66,162.54,Pear
45.84,75.81,85.98,167.57,Inverted Triangle
35.95,67.1,94.87,169.93,Pear
43.58,74.95,87.57,165.87,Inverted Triangle
37.11,66.22,92.62,163.44,Pear
44.98,64.5,92.79,164.68,Hourglass
46.2,77.67,84.15,171.94,Inverted Triangle
41.21,66.48,93.86,161.98,Hourglass
46.47,74.98,93.18,172.91,Inverted Triangle
39.13,79.12,77.93,168.87,Rectangle
41.29,62.32,93.5,164.88,Hourglass
44.76,70.31,86.49,174.31,Inverted Triangle
43.43,78.22,85.09,171.14,Inverted Triangle
39.6,71.19,93.75,156.63,Pear
44.7,65.64,93.2,165.16,Hourglass
44.02,73.79,88.39,164.83,Inverted Triangle
45.17,61.76,95.82,165.83,Hourglass
41.96,77.61,84.82,160.49,Rectangle
40.92,77.23,83.21,159.98,Rectangle
45.18,78.52,88.17,172.86,Inverted Triangle
45.32,77.81,85.92,166.83,Inverted Triangle
41.75,76.11,77.84,171.37,Rectangle
34.6,66.58,90.99,160.91,Pear
43.59,82.28,87.23,164.81,Rectangle
40.33,80.16,82.95,164.24,Rectangle
46.37,64.31,92.04,161.64,Hourglass
37.9,70.12,89.65,163.23,Pear
38.5,77.9,81.82,159.65,Rectangle
44.73,64.39,92.04,165.16,Hourglass
40.65,63.48,97.3,164.83,Hourglass
42.14,76.08,80.58,164.89,Rectangle
39.08,65.0,90.77,155.09,Pear
43.42,64.69,93.55,167.79,Hourglass
45.67,75.18,86.45,167.61,Rectangle
35.45,67.8,93.35,161.91,Pear
46.55,75.94,86.07,156.5,Inverted Triangle
43.12,64.46,89.83,166.99,Hourglass
39.54,72.12,102.29,160.28,Pear
41.95,78.93,78.92,164.31,Rectangle
41.7,70.95,95.25,161.15,Pear
44.86,66.43,91.97,159.77,Hourglass
39.9,63.4,97.84,165.2,Hourglass
45.74,73.7,88.79,166.78,Inverted Triangle
48.55,72.69,84.2,168.28,Inverted Triangle
43.97,63.52,91.51,156.8,Hourglass
44.41,78.71,87.98,169.23,Inverted Triangle
46.15,76.76,91.55,170.58,Inverted Triangle
43.87,65.76,92.01,173.39,Hourglass
40.68,80.15,81.8,168.56,Rectangle
44.6,68.1,93.62,164.37,Hourglass
38.86,66.83,96.09,163.96,Pear
43.25,72.69,85.41,169.18,Inverted Triangle
37.69,66.8,97.91,168.71,Pear
42.6,84.94,82.21,168.48,Rectangle
43.71,70.07,96.58,176.48,Inverted Triangle
40.93,71.02,97.66,174.82,Pear
40.92,76.66,84.01,164.98,Rectangle
46.12,79.19,88.62,167.18,Inverted Triangle
45.76,71.1,95.85,164.13,Inverted Triangle
44.96,70.0,87.0,174.84,Inverted Triangle
43.93,77.91,79.59,160.09,Rectangle
46.0,66.98,86.19,165.35,Inverted Triangle
46.66,74.64,89.56,164.89,Inverted Triangle
34.71,66.77,94.61,163.9,Pear
43.67,67.79,91.07,164.76,Hourglass
41.54,84.04,82.47,168.96,Rectangle
40.1,68.74,87.61,171.53,Hourglass
43.92,72.61,85.14,167.22,Inverted Triangle
45.04,87.74,83.05,169.99,Rectangle
43.23,64.88,89.97,164.46,Hourglass
43.79,80.57,84.22,163.01,Rectangle
38.78,66.92,95.48,164.01,Pear
42.54,79.04,78.06,167.86,Rectangle
43.03,73.11,90.75,168.36,Inverted Triangle
42.46,70.62,96.89,164.9,Hourglass
45.92,69.66,84.69,175.57,Inverted Triangle
45.02,74.54,88.52,168.75,Inverted Triangle
41.96,69.05,93.39,154.04,Hourglass
42.57,75.01,78.71,174.21,Rectangle
42.52,74.1,88.82,169.17,Inverted Triangle
41.28,71.16,96.43,160.53,Pear
40.46,88.8,76.85,164.34,Rectangle
37.17,64.82,93.59,168.94,Pear
40.96,67.56,98.77,162.55,Pear
36.45,81.34,76.22,166.13,Rectangle
45.52,66.49,92.69,160.24,Hourglass
43.12,80.67,80.83,162.04,Rectangle
45.06,74.08,89.01,167.22,Inverted Triangle
40.91,77.54,79.1,174.86,Rectangle
36.78,71.08,93.98,173.57,Pear
42.45,68.11,91.6,162.44,Hourglass
40.35,73.24,94.84,160.84,Pear
43.79,83.4,81.13,165.97,Rectangle
42.37,74.89,90.15,168.96,Inverted Triangle
44.51,70.75,84.41,169.1,Inverted Triangle
44.79,77.31,89.12,169.38,Inverted Triangle
46.69,83.78,80.79,171.24,Rectangle
47.08,66.72,90.79,167.96,Hourglass
40.53,79.82,83.26,163.69,Rectangle
45.21,64.66,92.29,160.01,Hourglass
45.97,69.43,87.66,162.84,Inverted Triangle
39.16,71.24,90.91,163.19,Pear
34.92,67.63,89.02,167.24,Pear
42.93,76.57,82.96,168.45,Rectangle
38.11,82.83,83.08,165.06,Rectangle
38.67,70.26,93.56,158.09,Pear
46.85,84.94,80.65,170.34,Rectangle
36.74,70.93,93.29,172.24,Pear
40.59,79.68,79.4,159.5,Rectangle
38.72,70.76,94.52,168.62,Pear
48.16,74.75,88.34,162.38,Inverted Triangle
48.66,72.52,84.02,164.03,Inverted Triangle
41.67,80.5,75.27,167.81,Rectangle
40.84,65.59,89.8,166.43,Hourglass
38.79,77.33,91.19,162.26,Pear
48.9,76.09,91.55,160.99,Inverted Triangle
34.84,67.8,94.63,165.25,Pear
45.87,69.76,88.59,159.38,Inverted Triangle
38.71,70.64,91.97,164.87,Pear
40.17,70.72,91.61,165.05,Pear
36.11,70.41,93.68,171.87,Pear
39.53,66.11,99.14,164.88,Pear
39.67,69.05,94.07,166.97,Pear
43.78,79.32,85.01,174.17,Rectangle
44.25,71.91,88.15,175.36,Inverted Triangle
43.36,74.17,90.29,167.48,Inverted Triangle
43.6,62.46,92.23,165.07,Hourglass
44.74,73.9,83.44,162.77,Inverted Triangle
45.67,78.42,87.82,167.74,Inverted Triangle
43.69,61.48,91.38,166.0,Hourglass
45.26,66.19,96.39,168.35,Hourglass
42.96,79.19,81.15,162.67,Rectangle
44.8,75.25,90.22,164.22,Inverted Triangle
42.04,64.68,87.07,161.48,Hourglass
38.55,73.42,93.12,160.97,Pear
43.37,71.45,90.2,170.09,Inverted Triangle
36.92,68.24,90.41,161.83,Pear
45.25,78.19,92.78,168.34,Inverted Triangle
36.06,66.47,91.1,165.09,Pear
46.62,74.33,92.46,172.79,Inverted Triangle
44.42,68.12,93.91,164.67,Hourglass
48.42,75.7,86.19,169.23,Inverted Triangle
39.54,69.56,92.54,164.93,Pear
42.56,79.0,81.5,162.69,Rectangle
38.14,71.63,93.56,163.12,Pear
40.91,84.06,81.25,164.67,Rectangle
40.99,76.51,85.98,170.88,Rectangle
42.42,69.18,93.22,154.7,Hourglass
46.56,69.94,88.26,162.41,Inverted Triangle
43.31,79.75,77.97,168.48,Rectangle
44.0,64.22,94.38,167.88,Hourglass
42.78,64.36,88.18,173.04,Hourglass
42.26,68.95,93.3,154.29,Hourglass
49.1,71.87,84.4,164.69,Inverted Triangle
37.94,69.79,95.6,170.41,Pear
38.05,63.07,100.01,161.55,Pear
40.09,72.19,94.39,161.81,Pear
45.16,76.01,88.93,170.08,Inverted Triangle
42.36,70.39,94.5,161.05,Pear
44.94,72.41,78.36,170.92,Rectangle
43.24,64.24,87.11,157.61,Hourglass
43.93,64.9,92.03,173.33,Hourglass
38.58,70.96,98.04,167.6,Pear
46.02,76.27,91.21,157.9,Inverted Triangle
43.97,73.24,87.07,161.11,Inverted Triangle
43.48,74.03,89.37,168.56,Inverted Triangle
38.3,67.96,101.17,165.59,Pear
43.31,62.96,93.07,166.01,Hourglass
42.21,78.6,82.94,169.77,Rectangle
44.26,74.44,89.37,169.28,Inverted Triangle
41.65,77.95,76.57,171.22,Rectangle
44.34,71.37,85.06,167.16,Inverted Triangle
46.42,67.64,97.85,161.24,Hourglass
38.55,71.03,96.61,168.3,Pear
41.94,74.22,90.12,171.83,Inverted Triangle
45.41,67.24,94.02,155.71,Hourglass
43.27,75.72,89.71,174.78,Inverted Triangle
44.0,87.73,80.12,164.17,Rectangle
47.04,68.02,98.06,161.84,Hourglass
45.53,75.57,86.63,171.24,Rectangle
45.76,70.15,85.55,172.82,Inverted Triangle
48.02,75.77,92.57,160.66,Inverted Triangle
42.83,73.48,85.48,168.26,Inverted Triangle
37.35,69.18,93.57,171.16,Pear
38.7,66.96,98.01,170.91,Pear
44.51,77.38,83.35,172.17,Inverted Triangle
37.96,71.85,95.76,170.55,Pear
42.17,75.17,89.21,169.31,Inverted Triangle
43.04,86.02,85.21,166.76,Rectangle
40.47,68.14,88.9,165.3,Hourglass
35.6,71.12,95.24,162.39,Pear
43.0,71.11,88.85,173.44,Inverted Triangle
40.24,78.42,95.43,158.99,Pear
41.72,70.05,95.18,165.05,Hourglass
46.28,74.33,90.66,165.23,Inverted Triangle
40.61,73.47,93.28,165.4,Inverted Triangle
36.67,71.57,94.77,165.56,Pear
41.21,68.16,93.5,167.24,Hourglass
43.31,71.24,87.88,169.43,Inverted Triangle
39.48,69.49,94.48,167.12,Pear
44.34,69.28,89.12,163.67,Inverted Triangle
40.57,62.08,92.62,165.02,Hourglass
40.49,62.11,93.3,166.26,Hourglass
39.77,69.93,93.3,156.87,Pear
46.26,73.55,86.31,169.62,Inverted Triangle
35.61,71.5,94.93,163.5,Pear
43.84,81.48,78.73,165.36,Rectangle
45.64,78.61,86.94,166.65,Inverted Triangle
35.17,67.86,96.18,164.62,Pear
40.87,79.28,79.45,165.21,Rectangle
40.73,70.06,98.92,163.15,Pear
40.35,69.18,98.53,162.38,Pear
34.99,73.25,94.49,164.53,Pear
44.18,69.8,88.28,164.09,Inverted Triangle
36.77,73.26,96.04,160.92,Pear
43.56,65.63,95.05,156.6,Hourglass
34.8,66.91,95.33,170.27,Pear
41.65,78.64,79.46,164.8,Rectangle
43.03,74.2,87.99,169.02,Inverted Triangle
40.92,67.73,99.55,165.24,Pear
42.5,77.9,81.38,165.33,Rectangle
34.89,71.2,95.38,164.59,Pear
42.77,62.16,95.81,158.85,Hourglass
45.05,75.32,96.46,166.41,Inverted Triangle
39.41,71.24,91.68,164.46,Pear
36.47,81.29,97.97,160.58,Pear
40.15,79.7,79.71,157.95,Rectangle
36.63,68.41,94.71,167.35,Pear
46.22,75.94,86.09,172.14,Rectangle
44.87,73.05,82.34,161.65,Inverted Triangle
40.13,80.01,76.47,166.41,Rectangle
39.57,75.83,78.3,169.79,Rectangle
45.01,72.7,91.36,161.29,Inverted Triangle
35.16,66.3,91.88,162.03,Pear
45.34,72.65,90.94,170.54,Inverted Triangle
43.31,64.48,90.69,163.01,Hourglass
41.35,76.39,78.14,162.61,Rectangle
36.74,71.51,94.28,165.67,Pear
43.72,86.64,85.46,167.42,Rectangle
45.62,74.93,86.86,167.9,Rectangle
45.96,73.7,86.72,162.4,Inverted Triangle
39.53,76.58,77.84,171.17,Rectangle
37.49,72.75,96.11,168.37,Pear
43.31,73.35,84.77,167.6,Inverted Triangle
39.74,70.97,91.03,164.62,Pear
46.23,73.77,92.99,172.75,Inverted Triangle
43.11,69.44,87.85,159.38,Hourglass
35.26,66.97,92.14,161.5,Pear
48.68,75.74,85.61,170.47,Inverted Triangle
37.8,70.62,97.17,157.53,Pear
38.35,73.56,92.97,166.82,Pear
44.51,68.75,94.02,164.13,Hourglass
41.47,79.01,81.75,164.01,Rectangle
42.31,84.81,81.99,169.44,Rectangle
45.22,73.58,85.56,170.65,Inverted Triangle
36.56,70.93,91.27,162.55,Pear
42.64,67.39,94.0,168.92,Hourglass
42.98,67.42,95.65,164.91,Hourglass
43.04,80.19,84.48,170.31,Rectangle
35.11,66.19,94.63,162.28,Pear
36.38,69.9,91.91,161.11,Pear
43.45,63.47,93.47,163.16,Hourglass
42.5,78.53,81.02,163.22,Rectangle
42.41,75.32,80.1,173.02,Rectangle
40.95,79.44,80.99,161.58,Rectangle
43.1,81.54,76.9,166.66,Rectangle
39.37,71.48,88.23,162.62,Hourglass
46.03,72.96,90.79,161.2,Inverted Triangle
41.69,78.06,85.18,166.0,Inverted Triangle
38.77,73.6,94.85,161.54,Pear
40.86,84.26,89.45,165.43,Rectangle
43.75,80.02,78.54,168.51,Rectangle
37.36,73.09,98.48,160.22,Pear
38.79,64.38,90.84,155.67,Pear
37.56,70.23,92.39,162.61,Pear
47.45,81.19,87.75,167.4,Inverted Triangle
45.67,76.4,92.19,157.84,Inverted Triangle
42.11,77.68,82.03,174.85,Rectangle
36.19,73.93,100.16,168.3,Pear
45.62,69.18,99.44,163.26,Hourglass
41.0,66.34,91.17,165.84,Hourglass
47.42,75.7,85.95,156.91,Inverted Triangle
42.8,65.14,90.97,165.67,Hourglass
47.33,78.11,89.62,166.78,Inverted Triangle
42.63,73.17,88.85,166.76,Rectangle
46.38,68.27,87.74,162.63,Inverted Triangle
42.67,78.43,78.7,170.07,Rectangle
42.03,78.33,81.86,172.89,Rectangle
45.03,69.91,87.31,167.46,Inverted Triangle
34.72,67.61,97.05,165.82,Pear
45.37,68.79,85.72,168.38,Inverted Triangle
36.85,70.52,95.23,166.02,Pear
40.68,68.85,86.46,166.21,Inverted Triangle
42.25,76.69,80.58,164.86,Rectangle
41.15,80.97,79.33,166.74,Rectangle
40.72,76.89,83.27,160.31,Rectangle
34.97,68.15,95.78,165.92,Pear
47.8,76.23,91.52,164.92,Inverted Triangle
42.86,82.21,87.65,162.71,Rectangle
43.46,75.74,85.77,166.25,Inverted Triangle
46.01,77.29,81.59,168.36,Rectangle
42.77,67.51,95.96,164.98,Hourglass
46.03,75.38,90.12,164.24,Inverted Triangle
43.74,64.51,96.99,158.14,Hourglass
37.55,72.88,97.48,164.36,Pear
34.62,66.59,93.62,163.06,Pear
42.73,74.73,89.76,169.4,Inverted Triangle
46.13,74.01,88.84,167.06,Inverted Triangle
41.8,66.2,89.27,166.11,Hourglass
42.93,64.52,95.36,166.3,Hourglass
46.39,79.97,87.56,168.51,Inverted Triangle
44.33,63.83,89.86,155.21,Hourglass
45.49,76.55,93.87,161.21,Inverted Triangle
44.19,78.98,77.25,168.19,Rectangle
37.6,68.24,92.93,162.7,Pear
46.2,75.48,90.81,170.54,Inverted Triangle
41.82,83.43,84.41,161.53,Rectangle
44.68,77.38,84.59,162.62,Rectangle
42.65,69.06,92.78,153.94,Hourglass
48.29,73.61,91.47,161.61,Inverted Triangle
43.79,73.14,81.58,165.0,Inverted Triangle
35.22,66.79,96.28,165.69,Pear
43.79,72.11,87.2,167.09,Inverted Triangle
36.74,67.95,94.65,178.26,Pear
41.29,66.44,97.43,167.12,Hourglass
42.8,68.73,90.77,161.55,Hourglass
38.73,71.85,95.97,166.99,Pear
44.53,70.81,86.85,166.16,Inverted Triangle
44.19,79.78,86.14,170.62,Rectangle
42.86,79.82,85.17,166.37,Rectangle
41.19,63.78,90.87,160.21,Hourglass
41.29,80.45,82.46,168.1,Inverted Triangle
35.62,65.86,90.54,165.79,Pear
43.19,65.87,86.93,157.19,Hourglass
46.23,79.25,86.32,167.29,Inverted Triangle
37.1,69.84,99.88,165.97,Pear
43.69,73.0,84.57,170.05,Inverted Triangle
45.64,81.75,81.59,163.06,Rectangle
37.02,71.46,95.74,163.49,Pear
43.82,77.79,86.4,170.04,Inverted Triangle
43.93,77.72,80.17,166.41,Rectangle
41.9,73.1,90.08,171.46,Inverted Triangle
41.91,74.52,79.8,174.43,Rectangle
40.74,68.52,87.72,169.0,Hourglass
46.02,75.64,83.4,171.41,Rectangle
42.62,79.6,77.98,168.56,Rectangle
46.28,87.73,82.49,169.45,Rectangle
34.96,71.91,97.16,158.83,Pear
45.18,75.65,82.68,172.83,Inverted Triangle
42.39,69.29,91.73,158.76,Hourglass
43.23,80.14,81.87,161.24,Rectangle
42.37,69.22,89.41,166.37,Hourglass
41.29,64.72,92.78,164.43,Hourglass
35.2,75.21,97.29,162.59,Pear
43.46,80.72,85.86,171.77,Rectangle
43.41,62.71,91.59,163.52,Hourglass
45.45,69.34,86.65,174.46,Inverted Triangle
44.72,74.72,86.54,168.03,Rectangle
38.58,65.02,90.71,155.46,Pear
43.72,64.04,95.29,166.87,Hourglass
34.96,74.01,96.17,164.21,Pear
36.79,70.31,99.1,168.23,Pear
45.04,72.52,78.22,170.61,Rectangle
42.41,74.42,80.51,167.49,Rectangle
45.74,74.59,83.81,174.89,Inverted Triangle
38.33,71.35,91.83,165.81,Pear
40.19,80.19,79.73,168.34,Rectangle
40.64,78.86,79.14,162.97,Rectangle
42.67,76.59,82.54,162.27,Rectangle
41.15,76.76,81.97,169.21,Rectangle
37.71,71.55,94.8,165.89,Pear
38.0,72.53,97.46,168.63,Pear
42.97,85.12,82.33,169.39,Rectangle
45.49,77.42,92.49,170.11,Inverted Triangle
46.72,73.79,85.14,170.64,Inverted Triangle
37.93,65.6,90.73,157.76,Pear
45.54,75.87,85.38,172.77,Inverted Triangle
43.89,76.96,85.26,170.64,Inverted Triangle
43.17,64.38,94.23,169.07,Hourglass
40.57,66.48,93.72,162.18,Hourglass
44.17,71.67,92.9,162.77,Hourglass
42.0,76.8,82.88,172.9,Rectangle
42.62,65.77,87.59,158.5,Hourglass
41.89,64.82,95.27,163.23,Hourglass
38.64,66.89,95.3,161.8,Pear
45.93,66.59,86.97,165.16,Inverted Triangle
44.38,64.96,96.07,166.02,Hourglass
44.49,79.12,83.69,163.53,Rectangle
42.26,77.18,82.87,170.36,Rectangle
42.08,81.11,82.25,163.25,Rectangle
44.64,68.69,94.48,163.96,Hourglass
37.92,73.01,96.15,166.02,Pear
39.67,68.71,92.97,163.23,Hourglass
42.55,67.9,92.53,161.9,Hourglass
44.58,75.35,88.35,167.13,Inverted Triangle
45.03,67.91,93.62,164.15,Hourglass
43.63,80.93,85.78,171.66,Rectangle
36.29,68.78,96.44,167.51,Pear
41.13,77.35,82.89,169.27,Rectangle
40.99,66.31,92.05,164.82,Hourglass
40.19,67.69,96.36,166.36,Pear
44.15,64.33,98.38,163.42,Hourglass
44.02,86.84,80.27,165.38,Rectangle
45.68,75.48,87.89,167.56,Inverted Triangle
37.96,63.87,99.45,162.23,Pear
43.22,80.64,83.26,170.67,Rectangle
46.19,68.88,99.68,163.61,Hourglass
41.33,70.24,100.61,164.35,Pear
42.81,84.15,83.39,168.01,Rectangle
43.18,74.23,84.94,175.02,Rectangle
40.33,77.2,82.43,166.3,Rectangle
44.27,77.41,87.8,167.9,Inverted Triangle
41.74,69.42,92.47,164.01,Hourglass
43.16,80.2,82.04,167.31,Rectangle
42.3,75.26,81.27,166.71,Rectangle
41.3,70.56,101.3,162.37,Pear
43.95,71.2,90.19,169.08,Inverted Triangle
43.14,78.96,81.14,162.03,Rectangle
36.65,70.72,92.96,160.45,Pear
37.77,66.29,97.82,167.75,Pear
44.73,74.38,86.2,171.63,Inverted Triangle
41.41,69.27,98.84,171.53,Pear
43.43,81.47,79.25,159.39,Rectangle
40.13,62.81,95.57,166.76,Hourglass
43.68,76.2,82.02,167.25,Rectangle
44.65,80.94,78.47,176.57,Rectangle
46.54,64.84,91.93,161.41,Hourglass
42.56,68.53,97.58,160.53,Hourglass
43.55,71.1,91.46,170.23,Inverted Triangle
45.2,62.1,91.97,163.92,Hourglass
36.96,72.6,93.18,162.34,Pear
42.22,68.06,88.31,161.32,Hourglass
38.96,73.13,94.18,171.72,Pear
47.56,73.82,85.59,164.96,Inverted Triangle
34.62,65.53,94.78,161.66,Pear
36.08,72.32,96.38,165.07,Pear
39.38,68.32,94.01,164.18,Pear
41.33,76.45,83.17,164.03,Rectangle
38.09,66.81,97.25,168.6,Pear
42.52,75.32,77.91,175.03,Rectangle
46.93,73.05,86.64,163.33,Inverted Triangle
42.24,63.74,86.9,172.68,Hourglass
38.97,72.94,90.78,158.58,Pear
40.73,81.09,81.37,166.59,Rectangle
38.68,64.21,91.96,154.91,Pear
38.88,70.23,92.55,165.33,Pear
36.5,73.34,101.56,166.57,Pear
45.27,65.94,89.29,166.9,Hourglass
45.26,80.06,86.53,174.8,Rectangle
40.95,88.3,78.16,164.63,Rectangle
46.06,74.88,85.06,168.0,Inverted Triangle
41.42,64.21,92.32,166.69,Hourglass
36.83,66.82,98.58,156.83,Pear
41.13,84.73,88.63,167.14,Rectangle
44.43,67.41,90.44,163.81,Hourglass
41.15,78.68,89.19,170.42,Inverted Triangle
41.33,67.89,97.45,166.75,Pear
41.32,62.18,94.04,162.42,Hourglass
48.29,78.1,89.53,165.59,Inverted Triangle
38.55,83.06,84.68,165.77,Rectangle
42.48,62.0,95.55,158.49,Hourglass
43.59,70.2,85.39,168.07,Inverted Triangle
45.46,75.93,93.22,163.04,Inverted Triangle
37.02,67.27,94.88,166.87,Pear
35.38,67.67,94.36,164.03,Pear
43.08,80.96,85.52,170.04,Rectangle
40.96,63.1,98.62,165.61,Hourglass
44.25,81.97,82.99,166.27,Rectangle
39.99,86.94,76.67,168.48,Rectangle
43.11,77.89,77.56,167.8,Rectangle
38.97,66.61,94.52,166.52,Pear
44.45,69.72,84.01,169.61,Hourglass
39.52,64.48,90.23,158.99,Pear
37.16,75.67,96.88,168.34,Pear
43.67,81.85,85.26,168.77,Rectangle
36.39,69.54,92.73,161.57,Pear
43.56,79.76,80.62,161.89,Rectangle
43.07,71.1,92.32,172.0,Inverted Triangle
43.54,79.64,84.82,169.04,Rectangle
41.83,70.16,87.05,171.68,Inverted Triangle
43.71,64.44,92.68,174.08,Hourglass
42.67,67.29,95.57,163.56,Hourglass
42.62,67.75,88.45,160.84,Hourglass
43.12,81.38,85.55,173.77,Rectangle
45.97,68.56,87.22,163.99,Inverted Triangle
40.88,65.96,95.75,160.98,Hourglass
40.21,80.47,78.12,168.42,Rectangle
47.06,72.13,89.29,165.75,Inverted Triangle
41.94,76.01,77.23,171.51,Rectangle
38.42,66.2,97.25,165.4,Hourglass
40.74,69.28,99.87,165.22,Pear
37.0,70.12,93.16,172.88,Pear
36.79,71.46,93.18,162.32,Pear
40.77,62.03,94.67,167.2,Hourglass
42.04,73.55,91.86,163.91,Hourglass
43.79,67.21,87.86,159.66,Hourglass
36.76,71.86,92.67,162.09,Pear
41.63,77.09,83.41,164.44,Rectangle
38.84,71.65,89.85,160.22,Pear
34.84,66.82,95.13,162.63,Pear
43.91,79.44,89.56,165.18,Inverted Triangle
45.72,64.59,96.37,162.82,Hourglass
46.39,74.68,86.53,168.93,Inverted Triangle
45.84,78.11,92.7,171.36,Inverted Triangle
42.67,64.22,87.99,161.46,Hourglass
36.01,68.46,97.32,160.09,Pear
38.47,64.85,90.69,155.07,Pear
39.47,66.71,93.79,170.83,Pear
40.9,79.47,82.25,170.02,Rectangle
45.38,74.74,88.8,170.94,Inverted Triangle
39.26,79.2,78.43,172.86,Rectangle
35.73,67.0,98.51,157.14,Pear
44.4,68.62,93.39,163.46,Hourglass
41.83,65.48,92.33,165.67,Hourglass
38.24,64.96,90.97,157.49,Pear
44.12,77.16,83.03,164.36,Rectangle
41.59,76.66,76.63,170.94,Rectangle
45.87,70.29,85.78,173.32,Inverted Triangle
40.65,76.62,83.67,165.16,Rectangle
43.36,79.45,81.55,163.2,Rectangle
45.52,61.84,90.95,165.28,Hourglass
48.66,75.55,85.79,171.23,Inverted Triangle
43.97,75.02,89.86,167.07,Inverted Triangle
42.41,67.29,94.64,162.03,Hourglass
39.52,68.97,96.29,168.68,Pear
42.25,77.26,80.98,165.89,Rectangle
45.34,63.28,98.31,168.92,Hourglass
43.03,71.03,88.11,170.63,Inverted Triangle
42.89,74.78,89.0,168.28,Inverted Triangle
43.79,62.15,91.4,165.15,Hourglass
46.76,67.56,90.38,166.55,Hourglass
42.56,81.31,86.31,174.88,Rectangle
37.13,70.86,95.36,163.2,Pear
39.58,72.28,102.12,166.12,Pear
37.92,71.44,97.26,165.39,Pear
38.62,73.18,94.49,162.19,Pear
38.2,82.8,84.67,165.14,Rectangle
43.19,78.27,85.92,170.67,Inverted Triangle
41.71,76.82,83.98,164.95,Rectangle
41.02,78.16,88.25,170.81,Inverted Triangle
43.77,64.34,89.37,164.91,Hourglass
35.42,65.22,94.17,163.99,Pear
41.77,74.25,87.98,170.66,Inverted Triangle
38.27,76.48,84.27,167.55,Rectangle
35.76,67.31,97.22,158.33,Pear
34.73,66.62,93.16,161.22,Pear
40.03,61.47,92.16,161.81,Hourglass
46.1,65.55,92.77,168.51,Hourglass
45.43,78.02,87.42,166.84,Inverted Triangle
40.06,69.78,93.31,171.41,Pear
38.36,72.81,97.6,164.24,Pear
40.94,78.23,78.92,165.92,Rectangle
45.86,76.0,84.64,174.39,Inverted Triangle
42.94,67.87,91.33,157.14,Hourglass
39.03,76.48,91.34,161.24,Pear
41.76,77.78,83.68,170.23,Rectangle
42.83,76.48,80.93,165.7,Rectangle
44.06,86.54,80.16,164.46,Rectangle
43.58,74.41,88.18,164.21,Inverted Triangle
44.4,76.65,89.35,167.64,Inverted Triangle
45.67,74.8,89.17,166.98,Inverted Triangle
44.16,83.89,82.21,167.35,Rectangle
43.05,66.04,88.05,169.69,Hourglass
42.53,71.43,95.96,170.38,Inverted Triangle
49.97,64.72,88.47,167.01,Hourglass
38.85,68.87,101.95,164.34,Pear
44.55,77.38,89.39,168.45,Inverted Triangle
40.95,80.86,79.84,167.66,Rectangle
38.51,67.28,94.35,163.38,Pear
45.9,66.03,86.11,165.59,Inverted Triangle
43.11,73.74,87.25,166.03,Inverted Triangle
36.18,74.54,100.24,167.27,Pear
